Away_G,Home_G,OT,Attendance,LengthOfGame,Notes,Goal_Diff,Datetime,Edmonton Oilers,Florida Panthers,Minnesota Wild,St. Louis Blues,New York Islanders,Columbus Blue Jackets,Arizona Coyotes,Philadelphia Flyers,Buffalo Sabres,Ottawa Senators,Dallas Stars,Chicago Blackhawks,Toronto Maple Leafs,Seattle Kraken,Carolina Hurricanes,San Jose Sharks,Detroit Red Wings,Calgary Flames,Utah Mammoth,Pittsburgh Penguins,Washington Capitals,Nashville Predators,Winnipeg Jets,Vancouver Canucks,Montreal Canadiens,Los Angeles Kings,New Jersey Devils,New York Rangers,Boston Bruins,Colorado Avalanche,Vegas Golden Knights,Anaheim Ducks,Tampa Bay Lightning,home_win
1,6,0,17811,2:29,,5,2025-10-18T22:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,4,0,14309,2:26,,3,2025-10-18T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1
1,2,1,16262,2:27,,1,2025-10-19T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
2,4,0,19515,2:10,,2,2025-10-19T15:00:00.000000,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,0,12478,2:33,,1,2025-10-19T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
4,3,0,17018,2:36,,-1,2025-10-19T12:30:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0
2,1,0,16800,2:29,,-1,2025-10-20T21:30:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
2,4,0,20962,2:32,,2,2025-10-20T19:30:00.000000,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,1,0,18006,2:33,,-2,2025-10-20T19:00:00.000000,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,5,0,16099,2:35,,3,2025-10-20T19:00:00.000000,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,0,17682,2:33,,3,2025-10-20T22:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,3,0,17850,2:43,,-1,2025-10-21T19:30:00.000000,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,0,18532,2:24,,-4,2025-10-21T20:00:00.000000,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,17159,2:32,,-3,2025-10-21T20:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0
3,4,0,15832,2:36,,1,2025-10-21T19:00:00.000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2,1,17436,2:26,,-1,2025-10-21T19:00:00.000000,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,13685,2:26,,4,2025-10-21T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
2,1,1,16710,2:34,,-1,2025-10-21T20:00:00.000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
5,2,0,18306,2:29,,-3,2025-10-21T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
3,4,1,12478,2:41,,1,2025-10-21T22:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
1,4,0,16578,2:26,,3,2025-10-21T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,0,15104,2:33,,2,2025-10-22T19:30:00.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,17826,2:39,,-1,2025-10-22T20:30:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,4,0,16434,2:29,,3,2025-10-22T19:00:00.000000,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,5,0,17850,2:39,,-2,2025-10-23T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
5,4,1,18092,2:56,,-1,2025-10-23T21:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2,1,18532,2:42,,-1,2025-10-23T21:00:00.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
5,6,0,18347,2:31,,1,2025-10-23T21:00:00.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
5,3,0,19373,2:39,,-2,2025-10-23T19:00:00.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
